25
0 1-373; 2-843; 3-27; 4-608; 5-740; 6-858; 7-700; 8-975; 9-761; 10-69; 11-647; 12-493; 13-239; 14-821; 15-658; 16-89; 17-40; 18-932; 19-638; 20-722; 21-910; 22-755; 23-810; 24-515; 
13 0-239; 1-847; 2-541; 3-520; 4-300; 5-958; 6-936; 7-884; 8-714; 9-183; 10-611; 11-508; 12-210; 14-764; 15-867; 16-711; 17-745; 18-279; 19-426; 20-451; 21-726; 22-303; 23-492; 24-990; 
14 0-821; 1-612; 2-118; 3-110; 4-163; 5-478; 6-170; 7-137; 8-273; 9-890; 10-225; 11-851; 12-530; 13-764; 15-123; 16-145; 17-997; 18-49; 19-651; 20-445; 21-70; 22-291; 23-137; 24-874;
15 0-658; 1-474; 2-882; 3-165; 4-949; 5-846; 6-338; 7-212; 8-235; 9-468; 10-100; 11-234; 12-492; 13-867; 14-123; 16-324; 17-303; 18-284; 19-312; 20-725; 21-214; 22-91; 23-286; 24-770;
16 0-89; 1-837; 2-627; 3-239; 4-571; 5-44; 6-328; 7-564; 8-332; 9-285; 10-972; 11-769; 12-179; 13-711; 14-145; 15-324; 17-471; 18-349; 19-346; 20-298; 21-137; 22-369; 23-182; 24-294;
17 0-40; 1-983; 2-781; 3-640; 4-719; 5-89; 6-789; 7-24; 8-469; 9-966; 10-8; 11-526; 12-605; 13-745; 14-997; 15-303; 16-471; 18-690; 19-702; 20-954; 21-86; 22-828; 23-326; 24-328;
18 0-932; 1-414; 2-371; 3-448; 4-291; 5-337; 6-250; 7-50; 8-230; 9-708; 10-757; 11-771; 12-258; 13-279; 14-49; 15-284; 16-349; 17-690; 19-715; 20-174; 21-332; 22-882; 23-876; 24-399;
19 0-638; 1-904; 2-849; 3-67; 4-215; 5-114; 6-316; 7-12; 8-793; 9-224; 10-553; 11-981; 12-37; 13-426; 14-651; 15-312; 16-346; 17-702; 18-715; 20-793; 21-634; 22-638; 23-979; 24-379;
20 0-722; 1-78; 2-984; 3-421; 4-296; 5-573; 6-837; 7-605; 8-144; 9-634; 10-812; 11-203; 12-719; 13-451; 14-445; 15-725; 16-298; 17-954; 18-174; 19-793; 21-418; 22-942; 23-599; 24-569;
21 0-910; 1-880; 2-122; 3-947; 4-107; 5-795; 6-984; 7-709; 8-4; 9-467; 10-414; 11-115; 12-269; 13-726; 14-70; 15-214; 16-137; 17-86; 18-332; 19-634; 20-418; 22-710; 23-97; 24-990;
22 0-755; 1-575; 2-610; 3-650; 4-140; 5-765; 6-668; 7-594; 8-939; 9-753; 10-988; 11-830; 12-162; 13-303; 14-291; 15-91; 16-369; 17-828; 18-882; 19-638; 20-942; 21-710; 23-520; 24-385;
23 0-810; 1-885; 2-397; 3-896; 4-967; 5-169; 6-882; 7-476; 8-775; 9-801; 10-718; 11-374; 12-602; 13-492; 14-137; 15-286; 16-182; 17-326; 18-876; 19-979; 20-599; 21-97; 22-520; 24-790;
24 0-515; 1-334; 2-686; 3-462; 4-990; 5-630; 6-661; 7-92; 8-969; 9-830; 10-738; 11-206; 12-113; 13-990; 14-874; 15-770; 16-294; 17-328; 18-399; 19-379; 20-569; 21-990; 22-385; 23-790;
